"objectid","distance_to_city_hall","distance_to_nearest_transit","distance_to_nearest_hospital","distance_to_nearest_school","distance_to_nearest_park","distance_to_nearest_water","distance_to_nearest_bikelane","distance_to_I676","nhoods_name","landuse","LPSS_PER1000","HPSS_PER1000","crime_nn1","crime_nn2","crime_nn3","crime_nn4","crime_nn5"
578227761,1978.18998467411,434.880089571644,1228.9278199266,367.072872312504,51.1147802692701,4917.79576235096,244.175205156609,72.3036300180152,"CENTER_CITY","Transportation",44.72605293,6.61572866,42.0807293001831,69.8605779157877,95.3119261519121,114.514617144907,126.994793295703
578227774,2014.14631602107,581.32036654551,1385.92888007506,501.836529428455,45.5347843630966,5082.59299033086,78.3741494039158,72.4609337683858,"CENTER_CITY","Transportation",44.72605293,6.61572866,59.2080794535784,60.1942370594976,63.3642033551541,67.0653172137385,69.3334957632425
578227755,1990.20740523083,485.094303076005,1283.91574204561,410.946172599245,50.5724397001381,4975.60441629901,186.034651081242,71.3813264094307,"CENTER_CITY","Transportation",44.72605293,6.61572866,39.256935608654,69.839703733372,84.5078022451874,94.3468489113335,109.427078566255
578227890,1952.78568646115,270.62377273514,1006.50445834856,250.562331006993,45.7729526469279,4677.77372867518,487.265729451484,69.6326774275345,"CENTER_CITY","Transportation",44.72605293,6.61572866,71.9449260212508,83.9456910337657,98.8184362724008,108.11697799761,115.548921866897
578227986,4756.30001506822,2414.49846629107,3437.36171044214,1351.2304886372,642.058623382933,4535.06303298031,300.415317122009,1877.94705843307,"WEST_POPLAR","Transportation",50.10660981,5.59701493,13.8743630786243,15.9381252406851,67.7480808191487,98.3544373688326,116.745232460706
578228098,3904.55169997362,442.624509996891,2657.07565520633,199.598823159337,919.017769141089,5504.66446754849,206.153260214341,1834.65293042643,"WEST_POPLAR","Transportation",32.6549929,4.02271652,97.5336348318878,138.07616982259,155.621698667251,165.772143776505,174.020503745145
578228099,4081.02072449734,475.778726644135,2785.4515758723,253.69480273341,1116.53974927602,5490.59445978098,302.916596260184,2019.81120090063,"WEST_POPLAR","Transportation",32.6549929,4.02271652,122.726612864115,123.532244326259,124.131934189303,145.723908280902,168.005241083072
578228168,3140.05646864235,1272.95691439066,2851.25797011027,289.341762947551,430.253289454772,4765.70724041075,70.2031288278691,474.395088976919,"CALLOWHILL","Transportation",32.6549929,4.02271652,71.5906477733004,106.491628757073,123.601118955269,132.687081206892,138.857951785704
578228129,2770.6010177935,430.177646638222,2024.28644340107,1153.09899109029,728.464665269419,4067.86220792703,427.016694560325,839.744165965516,"OLD_CITY","Civic/Institution",44.72605293,6.61572866,81.5457214011163,107.884536266386,117.909450506613,127.012444619726,136.555446256121
578228136,2823.25091991387,403.525421131491,2047.04997252187,1179.31580320352,676.331306348854,4009.56010457087,381.901230148162,849.095090354741,"OLD_CITY","Transportation",44.72605293,6.61572866,126.476432489181,156.25507533854,166.703045093167,174.988704772364,180.669522078007
578228077,5189.54856033211,2495.45480476561,3644.5982574353,891.924590579337,1397.66352061784,3586.43709181549,59.7692405226596,1417.02688059371,"EAST_POPLAR","Vacant",50.10660981,5.59701493,89.9530408129344,91.5702627031169,96.1887731059512,99.0598293290026,106.526773568191
578228087,4220.24831225246,1186.46456183301,3629.38791776051,1379.45607818746,432.141465046032,3307.93538870615,100.5760823834,56.431395014138,"CALLOWHILL","Park/Open Space",50.10660981,5.59701493,91.7560189650177,92.7942905834851,99.231287143252,103.283896680735,106.66758594863
578228183,1091.48236392121,861.405959677722,653.017451308412,754.014110225434,159.780064941871,3819.69392643311,183.395017248698,1145.2475232644,"LOGAN_SQUARE","Vacant",131.86813187,22.52747253,112.057852096373,112.359435651683,117.94399255629,122.60405075099,138.577516582532
578228404,2778.48775409538,602.360715263839,2472.44950790602,499.257042191171,212.144520592086,4440.89725137582,203.780200146014,246.704118871405,"CHINATOWN","Transportation",44.72605293,6.61572866,97.5991339010147,127.1278980472,140.64651831109,155.437223439142,165.074311766371
578228296,3142.15178470684,1602.64499545089,2512.4390721267,351.806329217845,121.928672979454,5328.70810831327,178.34536869837,797.362994461432,"CALLOWHILL","Industrial",32.6549929,4.02271652,163.173265209589,178.710531330636,189.278652252169,198.197444287012,206.465584741934
578228519,2833.42196711995,1553.14426430072,2415.81069291372,357.82775176167,212.325316399981,5197.45081148587,223.402708337498,396.104793355822,"CALLOWHILL","Vacant",32.6549929,4.02271652,67.8619256900134,73.8150103610609,76.4805901534369,91.6153891919462,106.951569156694
578228520,4189.08951010928,1150.91497425534,3593.42862076252,1358.36249347217,443.000977625623,3319.35192249912,132.476496924043,31.4127609772899,"CALLOWHILL","Park/Open Space",50.10660981,5.59701493,72.8901983405368,75.0343838994728,96.8684515210792,107.790741013453,114.550363831874
578228521,2930.73706739279,1598.63193938408,2473.47234034131,272.585633717972,134.016453278814,5186.62636603104,121.367889850566,498.226463989674,"CALLOWHILL","Vacant",32.6549929,4.02271652,62.3324007275184,63.2077543688659,82.7608781458162,94.3284746041556,104.202803803496
578228522,4204.4429901109,1169.3970260532,3612.35212854508,1367.58296984346,439.137527374824,3315.51557815461,114.350118989892,46.3838687449879,"CALLOWHILL","Park/Open Space",50.10660981,5.59701493,79.515933301462,80.9969645043313,95.172813870205,102.602898849456,107.590920224806
578228658,3988.67616365218,1715.3206873888,3568.81007841262,844.242177691261,1045.91621053271,4375.45007738312,386.466454502586,1119.31512173852,"CALLOWHILL","Commercial Business/Professional",50.10660981,5.59701493,14.103400766342,32.7751292503646,39.8495475049988,47.1273538393083,68.4596274130881
